0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
48,重庆,2022-08-15,2022年08月15日,2,35,190,14,26,9,21,0.6,88,晴/多云,东风1-2级/东风1-2级,33℃/42℃,33,42
47,重庆,2022-08-14,2022年08月14日,2,30,122,10,20,8,16,0.5,84,多云/多云,东南风1-2级/东南风1-2级,33℃/42℃,33,42
46,重庆,2022-08-13,2022年08月13日,2,27,98,9,18,8,14,0.49,78,晴/晴,东南风1-2级/东南风1-2级,33℃/41℃,33,41
45,重庆,2022-08-12,2022年08月12日,2,26,112,10,17,8,15,0.52,70,晴/晴,东南风1-2级/东南风1-2级,32℃/41℃,32,41
44,重庆,2022-08-11,2022年08月11日,2,30,134,12,23,8,19,0.55,70,多云/多云,东南风1-2级/东南风1-2级,33℃/41℃,33,41
43,重庆,2022-08-10,2022年08月10日,2,32,189,13,24,8,20,0.56,80,晴/晴,东南风1-2级/东南风1-2级,33℃/41℃,33,41
42,重庆,2022-08-09,2022年08月09日,2,30,185,12,23,8,19,0.56,75,晴/晴,东南风1-2级/东南风1-2级,33℃/40℃,33,40
41,重庆,2022-08-08,2022年08月08日,2,31,176,11,21,8,19,0.57,84,晴/晴,东南风1-2级/东南风1-2级,31℃/40℃,31,40
40,重庆,2022-08-07,2022年08月07日,2,26,98,9,18,8,15,0.56,72,多云/多云,东南风1-2级/东南风1-2级,31℃/40℃,31,40
39,重庆,2022-08-06,2022年08月06日,2,29,150,12,22,7,18,0.59,75,多云/晴,东南风1-2级/东南风1-2级,27℃/39℃,27,39
38,重庆,2022-08-05,2022年08月05日,2,36,199,18,29,8,19,0.62,91,多云/晴,南风1-2级/南风1-2级,29℃/40℃,29,40
37,重庆,2022-08-04,2022年08月04日,2,35,159,17,29,8,20,0.59,87,多云/多云,东南风1-2级/东南风1-2级,30℃/40℃,30,40
36,重庆,2022-08-03,2022年08月03日,2,40,160,20,33,8,21,0.59,88,多云/多云,南风1-2级/南风1-2级,28℃/39℃,28,39
35,重庆,2022-08-02,2022年08月02日,2,40,151,21,34,9,19,0.61,104,多云/多云,南风1-2级/南风1-2级,30℃/40℃,30,40
34,重庆,2022-08-01,2022年08月01日,2,35,120,16,28,7,20,0.54,89,晴/晴,东南风1-2级/东南风1-2级,30℃/40℃,30,40
96,重庆,2022-07-31,2022年07月31日,2,36,145,16,28,8,22,0.55,84,晴/晴,东南风1-2级/东南风1-2级,29℃/39℃,29,39
95,重庆,2022-07-30,2022年07月30日,2,43,225,17,34,8,29,0.6,89,多云/多云,东南风1-2级/东南风1-2级,29℃/38℃,29,38
94,重庆,2022-07-29,2022年07月29日,2,50,292,20,36,8,27,0.64,99,晴/晴,东风1-2级/东风1-2级,27℃/37℃,27,37
93,重庆,2022-07-28,2022年07月28日,2,41,219,18,33,8,24,0.65,87,多云/多云,东南风1-2级/东南风1-2级,26℃/35℃,26,35
92,重庆,2022-07-27,2022年07月27日,2,30,68,13,26,7,19,0.59,76,大雨/中雨,东风1-2级/东风1-2级,27℃/33℃,27,33
91,重庆,2022-07-26,2022年07月26日,2,39,173,16,29,8,22,0.63,94,多云/小雨,东南风1-2级/东南风1-2级,26℃/39℃,26,39
90,重庆,2022-07-25,2022年07月25日,2,44,199,22,39,9,24,0.68,94,多云/多云,东北风1-2级/东北风1-2级,26℃/36℃,26,36
89,重庆,2022-07-24,2022年07月24日,2,43,216,18,34,9,26,0.68,91,晴/小雨,东风1-2级/东风1-2级,25℃/34℃,25,34
88,重庆,2022-07-23,2022年07月23日,2,30,123,14,27,8,24,0.6,74,多云/多云,东北风1-2级/东北风1-2级,23℃/31℃,23,31
87,重庆,2022-07-22,2022年07月22日,2,25,69,12,24,8,18,0.53,55,阴/多云,西风1-2级/西风1-2级,25℃/30℃,25,30
86,重庆,2022-07-21,2022年07月21日,2,35,195,15,29,8,25,0.68,72,多云/阴,东北风1-2级/东北风1-2级,26℃/34℃,26,34
85,重庆,2022-07-20,2022年07月20日,2,29,153,14,25,9,20,0.61,70,阴/阴,西南风1-2级/西南风1-2级,24℃/30℃,24,30
84,重庆,2022-07-19,2022年07月19日,2,24,86,13,22,7,14,0.6,55,小雨/阴,西北风1-2级/西北风1-2级,25℃/31℃,25,31
83,重庆,2022-07-18,2022年07月18日,2,28,124,18,27,7,19,0.68,54,中雨/中雨,西南风1-2级/西南风1-2级,27℃/33℃,27,33
82,重庆,2022-07-17,2022年07月17日,2,37,211,17,31,8,18,0.63,86,中雨/中雨,西风1-2级/西风1-2级,30℃/36℃,30,36
81,重庆,2022-07-16,2022年07月16日,2,43,257,18,34,9,22,0.64,99,多云/小雨,南风1-2级/南风1-2级,31℃/39℃,31,39
80,重庆,2022-07-15,2022年07月15日,2,34,137,14,25,8,18,0.59,93,晴/晴,东南风1-2级/东南风1-2级,34℃/40℃,34,40
79,重庆,2022-07-14,2022年07月14日,2,33,140,12,24,8,17,0.53,88,晴/晴,东南风1-2级/东南风1-2级,33℃/41℃,33,41
78,重庆,2022-07-13,2022年07月13日,2,31,148,12,23,8,16,0.52,78,多云/多云,东南风1-2级/东南风1-2级,33℃/40℃,33,40
77,重庆,2022-07-12,2022年07月12日,2,27,76,10,21,7,16,0.5,68,晴/多云,东南风1-2级/东南风1-2级,32℃/40℃,32,40
76,重庆,2022-07-11,2022年07月11日,2,28,89,10,22,8,17,0.51,73,晴/多云,东南风3-4级/东南风3-4级,32℃/40℃,32,40
75,重庆,2022-07-10,2022年07月10日,2,29,111,10,21,8,18,0.49,76,晴/晴,东南风1-2级/东南风1-2级,31℃/39℃,31,39
74,重庆,2022-07-09,2022年07月09日,2,37,188,15,29,9,23,0.53,81,晴/晴,东南风1-2级/东南风1-2级,29℃/39℃,29,39
73,重庆,2022-07-08,2022年07月08日,2,43,208,16,32,8,26,0.6,96,晴/晴,东南风1-2级/东南风1-2级,28℃/39℃,28,39
72,重庆,2022-07-07,2022年07月07日,2,47,257,19,37,8,25,0.62,103,晴/晴,东南风1-2级/东南风1-2级,27℃/39℃,27,39
71,重庆,2022-07-06,2022年07月06日,3,59,311,22,41,9,27,0.7,111,晴/晴,西南风1-2级/西南风1-2级,29℃/39℃,29,39
70,重庆,2022-07-05,2022年07月05日,2,42,271,20,36,9,24,0.62,84,晴/晴,西北风1-2级/西北风1-2级,27℃/36℃,27,36
69,重庆,2022-07-04,2022年07月04日,2,37,238,18,31,8,22,0.62,78,多云/多云,北风1-2级/北风1-2级,26℃/34℃,26,34
68,重庆,2022-07-03,2022年07月03日,2,29,160,16,25,7,15,0.57,65,小雨/多云,东北风1-2级/东北风1-2级,25℃/32℃,25,32
67,重庆,2022-07-02,2022年07月02日,2,30,167,16,28,7,19,0.59,65,雷阵雨/中雨,西北风1-2级/西北风1-2级,25℃/32℃,25,32
66,重庆,2022-07-01,2022年07月01日,2,37,204,19,36,8,26,0.63,76,小雨/中雨,东风1-2级/东风1-2级,25℃/33℃,25,33
127,重庆,2022-06-30,2022年06月30日,3,53,300,22,45,9,30,0.66,96,多云/多云,东风1-2级/东风1-2级,27℃/37℃,27,37
126,重庆,2022-06-29,2022年06月29日,3,60,324,21,44,9,29,0.69,104,晴/晴,南风1-2级/南风1-2级,25℃/36℃,25,36
125,重庆,2022-06-28,2022年06月28日,2,33,206,13,29,9,24,0.63,73,多云/多云,西北风1-2级/西北风1-2级,24℃/34℃,24,34
124,重庆,2022-06-27,2022年06月27日,2,20,45,8,14,7,15,0.53,61,小雨/多云,西南风1-2级/西南风1-2级,23℃/29℃,23,29
123,重庆,2022-06-26,2022年06月26日,2,25,87,11,22,7,20,0.56,57,多云/大雨,南风1-2级/南风1-2级,25℃/36℃,25,36
122,重庆,2022-06-25,2022年06月25日,2,34,172,13,26,8,25,0.66,77,多云/多云,东风1-2级/东风1-2级,27℃/36℃,27,36
121,重庆,2022-06-24,2022年06月24日,2,25,89,9,17,7,22,0.63,62,晴/晴,南风1-2级/南风1-2级,24℃/32℃,24,32
120,重庆,2022-06-23,2022年06月23日,2,16,16,9,14,6,21,0.57,40,中雨/小雨,西南风1-2级/西南风1-2级,24℃/30℃,24,30
119,重庆,2022-06-22,2022年06月22日,2,30,144,15,29,8,27,0.69,53,雷阵雨/中雨,南风1-2级/南风1-2级,26℃/33℃,26,33
118,重庆,2022-06-21,2022年06月21日,2,33,173,16,30,8,27,0.68,59,阴/阴,东南风1-2级/东南风1-2级,26℃/34℃,26,34
117,重庆,2022-06-20,2022年06月20日,2,50,241,25,43,9,30,0.76,89,多云/阴,东风1-2级/东风1-2级,25℃/33℃,25,33
116,重庆,2022-06-19,2022年06月19日,2,41,200,24,38,9,28,0.75,75,多云/多云,东南风1-2级/东南风1-2级,23℃/31℃,23,31
115,重庆,2022-06-18,2022年06月18日,2,33,141,18,33,9,33,0.7,44,多云/多云,西北风1-2级/西北风1-2级,23℃/31℃,23,31
114,重庆,2022-06-17,2022年06月17日,2,33,130,17,33,10,32,0.67,52,多云/阴,西南风1-2级/西南风1-2级,24℃/30℃,24,30
113,重庆,2022-06-16,2022年06月16日,2,42,153,22,39,9,29,0.68,74,阴/阴,南风1-2级/南风1-2级,24℃/31℃,24,31
112,重庆,2022-06-15,2022年06月15日,2,48,206,22,45,9,39,0.76,77,多云/多云,西南风1-2级/西南风1-2级,23℃/33℃,23,33
111,重庆,2022-06-14,2022年06月14日,2,43,210,21,39,9,31,0.72,73,多云/多云,东风1-2级/东风1-2级,22℃/31℃,22,31
110,重庆,2022-06-13,2022年06月13日,2,30,119,16,28,8,25,0.69,52,阴/多云,西南风1-2级/西南风1-2级,21℃/28℃,21,28
109,重庆,2022-06-12,2022年06月12日,2,19,24,10,17,7,20,0.71,47,中雨/多云,东北风1-2级/东北风1-2级,21℃/24℃,21,24
108,重庆,2022-06-11,2022年06月11日,2,45,228,30,45,9,29,0.75,41,小雨/小雨,南风1-2级/南风1-2级,22℃/25℃,22,25
107,重庆,2022-06-10,2022年06月10日,2,50,253,32,52,9,29,0.76,61,小雨/小雨,西南风1-2级/西南风1-2级,21℃/26℃,21,26
106,重庆,2022-06-09,2022年06月09日,2,36,137,20,36,8,34,0.72,40,小雨/小雨,北风1-2级/北风1-2级,22℃/26℃,22,26
105,重庆,2022-06-08,2022年06月08日,3,54,235,32,58,10,38,0.84,58,小雨/小雨,东北风1-2级/东北风1-2级,23℃/30℃,23,30
104,重庆,2022-06-07,2022年06月07日,2,45,188,20,42,9,30,0.71,76,多云/多云,东北风1-2级/东北风1-2级,22℃/32℃,22,32
103,重庆,2022-06-06,2022年06月06日,2,33,130,14,33,8,28,0.64,52,阴/多云,南风1-2级/南风1-2级,21℃/27℃,21,27
102,重庆,2022-06-05,2022年06月05日,2,25,68,11,25,7,17,0.54,53,多云/多云,西南风1-2级/西南风1-2级,21℃/29℃,21,29
101,重庆,2022-06-04,2022年06月04日,2,34,201,20,34,8,22,0.7,44,小雨/小雨,西北风1-2级/西北风1-2级,21℃/28℃,21,28
100,重庆,2022-06-03,2022年06月03日,2,47,224,28,47,9,29,0.81,49,小雨/小雨,西南风1-2级/西南风1-2级,24℃/29℃,24,29
99,重庆,2022-06-02,2022年06月02日,2,39,172,21,39,8,31,0.77,37,小雨/小雨,东北风1-2级/东北风1-2级,23℃/29℃,23,29
98,重庆,2022-06-01,2022年06月01日,2,40,180,21,40,8,28,0.74,41,阴/阴,西风1-2级/西风1-2级,23℃/30℃,23,30
159,重庆,2022-05-31,2022年05月31日,2,40,155,19,40,8,27,0.73,65,多云/小雨,东北风1-2级/东北风1-2级,22℃/31℃,22,31
158,重庆,2022-05-30,2022年05月30日,2,38,174,21,38,11,29,0.78,50,小雨/多云,东北风1-2级/东北风1-2级,21℃/29℃,21,29
157,重庆,2022-05-29,2022年05月29日,2,30,85,18,30,8,28,0.8,38,小雨/多云,西北风1-2级/西北风1-2级,19℃/28℃,19,28
156,重庆,2022-05-28,2022年05月28日,2,20,16,10,17,6,20,0.64,52,小雨/小雨,西南风1-2级/西南风1-2级,20℃/26℃,20,26
155,重庆,2022-05-27,2022年05月27日,2,16,7,9,15,6,26,0.71,29,小雨/小雨,东南风1-2级/东南风1-2级,20℃/23℃,20,23
154,重庆,2022-05-26,2022年05月26日,2,15,3,6,12,6,20,0.62,39,小雨/小雨,东风1-2级/东风1-2级,22℃/26℃,22,26
153,重庆,2022-05-25,2022年05月25日,2,46,211,28,47,9,29,0.78,35,多云/大雨,北风1-2级/北风1-2级,23℃/31℃,23,31
152,重庆,2022-05-24,2022年05月24日,2,42,170,22,42,10,38,0.75,54,多云/多云,东北风1-2级/东北风1-2级,20℃/31℃,20,31
151,重庆,2022-05-23,2022年05月23日,2,37,132,17,33,9,27,0.68,65,多云/多云,东风1-2级/东风1-2级,19℃/28℃,19,28
150,重庆,2022-05-22,2022年05月22日,2,33,84,18,32,8,27,0.65,58,小雨/多云,北风1-2级/北风1-2级,17℃/24℃,17,24
149,重庆,2022-05-21,2022年05月21日,2,47,155,26,47,10,47,0.86,36,阴/小雨,东北风1-2级/东北风1-2级,20℃/24℃,20,24
148,重庆,2022-05-20,2022年05月20日,2,38,81,18,34,8,32,0.78,56,多云/多云,东北风1-2级/东北风1-2级,18℃/25℃,18,25
147,重庆,2022-05-19,2022年05月19日,2,22,15,11,21,7,24,0.68,50,阴/阴,西南风1-2级/西南风1-2级,16℃/22℃,16,22
146,重庆,2022-05-18,2022年05月18日,2,26,15,15,26,7,26,0.66,43,小雨/中雨,东北风1-2级/东北风1-2级,16℃/19℃,16,19
145,重庆,2022-05-17,2022年05月17日,2,43,135,23,43,10,41,0.75,46,小雨/中雨,西北风1-2级/西北风1-2级,18℃/24℃,18,24
144,重庆,2022-05-16,2022年05月16日,2,31,97,14,27,8,21,0.61,66,阴/多云,南风1-2级/南风1-2级,14℃/23℃,14,23
143,重庆,2022-05-15,2022年05月15日,2,19,18,8,14,6,15,0.6,55,小雨/多云,北风1-2级/北风1-2级,13℃/17℃,13,17
142,重庆,2022-05-14,2022年05月14日,2,20,27,9,16,6,13,0.59,62,中雨/中雨,东北风1-2级/东北风1-2级,17℃/19℃,17,19
141,重庆,2022-05-13,2022年05月13日,2,25,79,8,19,8,20,0.65,58,多云/小雨,东南风1-2级/东南风1-2级,18℃/30℃,18,30
140,重庆,2022-05-12,2022年05月12日,2,26,99,9,20,8,23,0.68,52,阴/多云,东北风1-2级/东北风1-2级,19℃/28℃,19,28
139,重庆,2022-05-11,2022年05月11日,2,22,41,10,22,8,28,0.73,43,小雨/阴,东北风1-2级/东北风1-2级,20℃/25℃,20,25
138,重庆,2022-05-10,2022年05月10日,2,34,115,15,28,8,22,0.72,67,多云/阴,东北风1-2级/东北风1-2级,19℃/29℃,19,29
137,重庆,2022-05-09,2022年05月09日,2,24,16,13,23,7,19,0.68,59,大雨/小雨,东北风1-2级/东北风1-2级,19℃/25℃,19,25
136,重庆,2022-05-08,2022年05月08日,2,36,90,16,30,8,19,0.62,92,多云/中雨,东风1-2级/东风1-2级,21℃/32℃,21,32
135,重庆,2022-05-07,2022年05月07日,3,57,209,36,59,10,35,0.78,83,多云/多云,东风1-2级/东风1-2级,21℃/31℃,21,31
134,重庆,2022-05-06,2022年05月06日,3,61,213,36,64,13,48,0.81,84,阴/阴,东南风1-2级/东南风1-2级,20℃/33℃,20,33
133,重庆,2022-05-05,2022年05月05日,3,54,142,24,49,11,43,0.7,87,晴/晴,东北风1-2级/东北风1-2级,19℃/32℃,19,32
132,重庆,2022-05-04,2022年05月04日,3,52,148,22,47,12,40,0.69,85,多云/多云,北风1-2级/北风1-2级,16℃/30℃,16,30
131,重庆,2022-05-03,2022年05月03日,2,46,139,21,42,11,33,0.6,76,多云/多云,东风1-2级/东风1-2级,14℃/26℃,14,26
130,重庆,2022-05-02,2022年05月02日,2,33,86,14,29,10,20,0.53,72,多云/多云,西南风1-2级/西南风1-2级,13℃/23℃,13,23
129,重庆,2022-05-01,2022年05月01日,2,21,34,9,17,7,14,0.5,58,小雨/晴,西北风1-2级/西北风1-2级,12℃/17℃,12,17
190,重庆,2022-04-30,2022年04月30日,2,18,8,8,16,7,15,0.56,51,小雨/中雨,北风1-2级/北风1-2级,15℃/19℃,15,19
189,重庆,2022-04-29,2022年04月29日,2,31,73,14,31,10,24,0.63,47,阴/中雨,东风1-2级/东风1-2级,17℃/27℃,17,27
188,重庆,2022-04-28,2022年04月28日,2,27,35,12,26,8,18,0.53,57,小雨/多云,西北风1-2级/西北风1-2级,17℃/25℃,17,25
187,重庆,2022-04-27,2022年04月27日,2,46,165,22,47,12,34,0.75,63,多云/大雨,东风1-2级/东风1-2级,19℃/30℃,19,30
186,重庆,2022-04-26,2022年04月26日,2,49,194,22,48,11,30,0.68,83,多云/多云,南风1-2级/南风1-2级,19℃/30℃,19,30
185,重庆,2022-04-25,2022年04月25日,2,34,124,14,34,11,27,0.62,62,多云/阴,西南风1-2级/西南风1-2级,20℃/27℃,20,27
184,重庆,2022-04-24,2022年04月24日,2,29,34,15,29,9,23,0.67,50,小雨/多云,西北风1-2级/西北风1-2级,18℃/26℃,18,26
183,重庆,2022-04-23,2022年04月23日,3,60,200,33,64,13,35,0.74,89,多云/中雨,东风1-2级/东风1-2级,20℃/30℃,20,30
182,重庆,2022-04-22,2022年04月22日,3,57,212,31,63,14,40,0.76,79,小雨/小雨,西北风1-2级/西北风1-2级,18℃/28℃,18,28
181,重庆,2022-04-21,2022年04月21日,3,51,99,22,51,11,32,0.66,88,多云/晴,东北风1-2级/东北风1-2级,17℃/29℃,17,29
180,重庆,2022-04-20,2022年04月20日,2,50,99,22,52,11,30,0.63,76,晴/晴,东北风1-2级/东北风1-2级,15℃/26℃,15,26
179,重庆,2022-04-19,2022年04月19日,2,49,113,23,50,11,32,0.67,57,多云/多云,东北风1-2级/东北风1-2级,14℃/22℃,14,22
178,重庆,2022-04-18,2022年04月18日,2,31,67,18,31,9,24,0.64,49,阴/多云,北风1-2级/北风1-2级,12℃/20℃,12,20
177,重庆,2022-04-17,2022年04月17日,2,22,35,12,22,7,20,0.62,40,小雨/小雨,北风1-2级/北风1-2级,11℃/14℃,11,14
176,重庆,2022-04-16,2022年04月16日,2,21,26,9,17,7,15,0.54,61,小雨/小雨,东南风1-2级/东南风1-2级,11℃/13℃,11,13
175,重庆,2022-04-15,2022年04月15日,2,19,13,9,14,7,15,0.55,59,小雨/小雨,东北风1-2级/东北风1-2级,12℃/15℃,12,15
174,重庆,2022-04-14,2022年04月14日,2,22,10,10,21,8,22,0.6,57,小雨/中雨,东风1-2级/东风1-2级,15℃/20℃,15,20
173,重庆,2022-04-13,2022年04月13日,2,35,104,13,30,8,22,0.65,64,多云/小雨,东北风1-2级/东北风1-2级,15℃/25℃,15,25
172,重庆,2022-04-12,2022年04月12日,2,39,82,19,41,8,19,0.6,65,小雨/晴,北风1-2级/北风1-2级,14℃/24℃,14,24
171,重庆,2022-04-11,2022年04月11日,3,59,119,33,61,11,38,0.82,88,小雨/暴雨,北风1-2级/北风1-2级,18℃/33℃,18,33
170,重庆,2022-04-10,2022年04月10日,3,62,146,38,68,12,40,0.81,84,晴/多云,东风1-2级/东风1-2级,17℃/30℃,17,30
169,重庆,2022-04-09,2022年04月09日,3,63,163,40,77,16,44,0.8,71,多云/晴,南风1-2级/南风1-2级,17℃/28℃,17,28
168,重庆,2022-04-08,2022年04月08日,3,55,91,29,60,11,41,0.77,71,阴/阴,北风1-2级/北风1-2级,15℃/29℃,15,29
167,重庆,2022-04-07,2022年04月07日,3,53,121,30,57,10,38,0.76,60,晴/多云,东北风1-2级/东北风1-2级,12℃/27℃,12,27
166,重庆,2022-04-06,2022年04月06日,2,49,117,30,51,10,33,0.73,41,阴/多云,北风1-2级/北风1-2级,12℃/21℃,12,21
165,重庆,2022-04-05,2022年04月05日,2,41,57,27,41,9,26,0.64,50,阴/多云,东风1-2级/东风1-2级,13℃/21℃,13,21
164,重庆,2022-04-04,2022年04月04日,2,38,49,21,38,9,27,0.58,57,小雨/小雨,东北风1-2级/东北风1-2级,14℃/17℃,14,17
163,重庆,2022-04-03,2022年04月03日,2,43,120,22,42,10,33,0.67,56,阴/阴,东风1-2级/东风1-2级,11℃/24℃,11,24
162,重庆,2022-04-02,2022年04月02日,2,35,116,20,34,9,24,0.61,60,小雨/晴,西南风1-2级/西南风1-2级,10℃/17℃,10,17
161,重庆,2022-04-01,2022年04月01日,2,22,23,13,21,8,20,0.57,57,小雨/小雨,东风1-2级/东风1-2级,12℃/14℃,12,14
222,重庆,2022-03-31,2022年03月31日,2,22,16,12,19,7,20,0.57,50,中雨/中雨,西北风1-2级/西北风1-2级,12℃/15℃,12,15
221,重庆,2022-03-30,2022年03月30日,3,60,222,41,66,11,35,0.74,21,小雨/中雨,东风1-2级/东风1-2级,15℃/20℃,15,20
220,重庆,2022-03-29,2022年03月29日,3,57,215,27,65,13,43,0.7,33,多云/小雨,西南风1-2级/西南风1-2级,15℃/24℃,15,24
